"datetime	do_perc	temp_c"
"1/17/2019 20:00	8.56	11.42"
"1/17/2019 20:15	8.59	11.42"
"1/17/2019 20:30	8.6	11.4"
"1/17/2019 20:45	8.6	11.4"
"1/17/2019 21:00	8.64	11.38"
"1/17/2019 21:15	8.64	11.36"
"1/17/2019 21:30	8.66	11.36"
"1/17/2019 21:45	8.69	11.34"
"1/17/2019 22:00	8.73	11.32"
"1/17/2019 22:15	8.75	11.3"
"1/17/2019 22:30	8.76	11.28"
"1/17/2019 22:45	8.79	11.24"
"1/17/2019 23:00	8.84	11.22"
"1/17/2019 23:15	8.85	11.2"
"1/17/2019 23:30	8.88	11.16"
"1/17/2019 23:45	8.9	11.14"
"1/18/2019 0:00	8.92	11.1"
"1/18/2019 0:15	8.96	11.08"
"1/18/2019 0:30	8.97	11.06"
"1/18/2019 0:45	8.98	11.02"
"1/18/2019 1:00	9.02	11"
"1/18/2019 1:15	9.04	10.98"
"1/18/2019 1:30	9.06	10.96"
"1/18/2019 1:45	9.08	10.92"
"1/18/2019 2:00	9.1	10.9"
"1/18/2019 2:15	9.12	10.88"
"1/18/2019 2:30	9.12	10.86"
"1/18/2019 2:45	9.16	10.84"
"1/18/2019 3:00	9.19	10.82"
"1/18/2019 3:15	9.21	10.78"
"1/18/2019 3:30	9.23	10.76"
"1/18/2019 3:45	9.25	10.74"
"1/18/2019 4:00	9.27	10.72"
"1/18/2019 4:15	9.3	10.7"
"1/18/2019 4:30	9.32	10.68"
"1/18/2019 4:45	9.34	10.66"
"1/18/2019 5:00	9.35	10.64"
"1/18/2019 5:15	9.38	10.62"
"1/18/2019 5:30	9.39	10.6"
"1/18/2019 5:45	9.4	10.58"
"1/18/2019 6:00	9.4	10.56"
"1/18/2019 6:15	9.42	10.54"
"1/18/2019 6:30	9.43	10.52"
"1/18/2019 6:45	9.44	10.52"
"1/18/2019 7:00	9.45	10.5"
"1/18/2019 7:15	9.48	10.48"
"1/18/2019 7:30	9.49	10.46"
"1/18/2019 7:45	9.5	10.44"
"1/18/2019 8:00	9.51	10.44"
"1/18/2019 8:15	9.51	10.42"
"1/18/2019 8:30	9.52	10.4"
"1/18/2019 8:45	9.53	10.4"
"1/18/2019 9:00	9.54	10.4"
"1/18/2019 9:15	9.56	10.38"
"1/18/2019 9:30	9.55	10.38"
"1/18/2019 9:45	9.57	10.4"
"1/18/2019 10:00	9.57	10.4"
"1/18/2019 10:15	9.57	10.4"
"1/18/2019 10:30	9.59	10.42"
"1/18/2019 10:45	9.59	10.42"
"1/18/2019 11:00	9.59	10.42"
"1/18/2019 11:15	9.59	10.44"
"1/18/2019 11:30	9.6	10.44"
"1/18/2019 11:45	9.6	10.48"
"1/18/2019 12:00	9.59	10.5"
"1/18/2019 12:15	9.59	10.52"
"1/18/2019 12:30	9.59	10.54"
"1/18/2019 12:45	9.59	10.56"
"1/18/2019 13:00	9.57	10.58"
"1/18/2019 13:15	9.58	10.62"
"1/18/2019 13:30	9.57	10.64"
"1/18/2019 13:45	9.57	10.68"
"1/18/2019 14:00	9.55	10.7"
"1/18/2019 14:15	9.53	10.72"
"1/18/2019 14:30	9.53	10.74"
"1/18/2019 14:45	9.51	10.76"
"1/18/2019 15:00	9.51	10.78"
"1/18/2019 15:15	9.48	10.78"
"1/18/2019 15:30	9.46	10.8"
"1/18/2019 15:45	9.44	10.82"
"1/18/2019 16:00	9.42	10.84"
"1/18/2019 16:15	9.4	10.84"
"1/18/2019 16:30	9.39	10.84"
"1/18/2019 16:45	9.35	10.86"
"1/18/2019 17:00	9.33	10.86"
"1/18/2019 17:15	9.32	10.86"
"1/18/2019 17:30	9.27	10.86"
"1/18/2019 17:45	9.25	10.86"
"1/18/2019 18:00	9.22	10.86"
"1/18/2019 18:15	9.18	10.86"
"1/18/2019 18:30	9.14	10.86"
"1/18/2019 18:45	9.1	10.86"
"1/18/2019 19:00	9.06	10.86"
"1/18/2019 19:15	9.03	10.86"
"1/18/2019 19:30	8.97	10.86"
"1/18/2019 19:45	8.93	10.86"
"1/18/2019 20:00	8.9	10.86"
"1/18/2019 20:15	8.88	10.86"
"1/18/2019 20:30	8.81	10.86"
"1/18/2019 20:45	8.79	10.84"
"1/18/2019 21:00	8.77	10.86"
"1/18/2019 21:15	8.7	10.84"
"1/18/2019 21:30	8.65	10.84"
"1/18/2019 21:45	8.6	10.84"
"1/18/2019 22:00	8.57	10.84"
"1/18/2019 22:15	8.52	10.84"
"1/18/2019 22:30	8.48	10.84"
"1/18/2019 22:45	8.43	10.84"
"1/18/2019 23:00	8.44	10.86"
"1/18/2019 23:15	8.41	10.86"
"1/18/2019 23:30	8.39	10.86"
"1/18/2019 23:45	8.34	10.86"
"1/19/2019 0:00	8.31	10.86"
"1/19/2019 0:15	8.31	10.88"
"1/19/2019 0:30	8.31	10.88"
"1/19/2019 0:45	8.28	10.88"
"1/19/2019 1:00	8.31	10.88"
"1/19/2019 1:15	8.3	10.88"
"1/19/2019 1:30	8.29	10.88"
"1/19/2019 1:45	8.32	10.88"
"1/19/2019 2:00	8.31	10.88"
"1/19/2019 2:15	8.3	10.88"
"1/19/2019 2:30	8.32	10.88"
"1/19/2019 2:45	8.33	10.88"
"1/19/2019 3:00	8.34	10.88"
"1/19/2019 3:15	8.32	10.88"
"1/19/2019 3:30	8.34	10.88"
"1/19/2019 3:45	8.33	10.88"
"1/19/2019 4:00	8.32	10.88"
"1/19/2019 4:15	8.32	10.88"
"1/19/2019 4:30	8.3	10.88"
"1/19/2019 4:45	8.29	10.88"
"1/19/2019 5:00	8.29	10.88"
"1/19/2019 5:15	8.27	10.88"
"1/19/2019 5:30	8.26	10.88"
"1/19/2019 5:45	8.26	10.88"
"1/19/2019 6:00	8.21	10.88"
"1/19/2019 6:15	8.22	10.88"
"1/19/2019 6:30	8.23	10.88"
"1/19/2019 6:45	8.16	10.88"
"1/19/2019 7:00	8.16	10.88"
"1/19/2019 7:15	8.12	10.86"
"1/19/2019 7:30	8.09	10.86"
"1/19/2019 7:45	8.1	10.86"
"1/19/2019 8:00	8.02	10.86"
"1/19/2019 8:15	8.05	10.84"
"1/19/2019 8:30	8	10.84"
"1/19/2019 8:45	7.96	10.84"
"1/19/2019 9:00	7.97	10.86"
"1/19/2019 9:15	7.94	10.86"
"1/19/2019 9:30	7.95	10.88"
"1/19/2019 9:45	7.93	10.9"
"1/19/2019 10:00	7.84	10.92"
"1/19/2019 10:15	7.8	10.94"
"1/19/2019 10:30	7.83	10.98"
"1/19/2019 10:45	7.82	11.04"
"1/19/2019 11:00	7.81	11.1"
"1/19/2019 11:15	7.78	11.14"
"1/19/2019 11:30	7.78	11.18"
"1/19/2019 11:45	7.77	11.24"
"1/19/2019 12:00	7.74	11.28"
"1/19/2019 12:15	7.75	11.32"
"1/19/2019 12:30	7.69	11.38"
"1/19/2019 12:45	7.67	11.4"
"1/19/2019 13:00	7.64	11.44"
"1/19/2019 13:15	7.64	11.46"
"1/19/2019 13:30	7.63	11.48"
"1/19/2019 13:45	7.63	11.56"
"1/19/2019 14:00	7.6	11.6"
"1/19/2019 14:15	7.6	11.58"
"1/19/2019 14:30	7.64	11.6"
"1/19/2019 14:45	7.62	11.6"
"1/19/2019 15:00	7.65	11.68"
"1/19/2019 15:15	7.65	11.74"
"1/19/2019 15:30	7.67	11.76"
"1/19/2019 15:45	7.65	11.78"
"1/19/2019 16:00	7.65	11.76"
"1/19/2019 16:15	7.62	11.74"
"1/19/2019 16:30	7.59	11.74"
"1/19/2019 16:45	7.61	11.74"
"1/19/2019 17:00	7.6	11.74"
"1/19/2019 17:15	7.64	11.74"
"1/19/2019 17:30	7.62	11.72"
"1/19/2019 17:45	7.64	11.72"
"1/19/2019 18:00	7.68	11.7"
"1/19/2019 18:15	7.69	11.7"
"1/19/2019 18:30	7.67	11.68"
"1/19/2019 18:45	7.66	11.68"
"1/19/2019 19:00	7.67	11.66"
"1/19/2019 19:15	7.64	11.66"
"1/19/2019 19:30	7.65	11.66"
"1/19/2019 19:45	7.64	11.68"
"1/19/2019 20:00	7.63	11.68"
"1/19/2019 20:15	7.64	11.7"
"1/19/2019 20:30	7.63	11.72"
"1/19/2019 20:45	7.66	11.74"
"1/19/2019 21:00	7.64	11.74"
"1/19/2019 21:15	7.63	11.76"
"1/19/2019 21:30	7.65	11.78"
"1/19/2019 21:45	7.63	11.8"
"1/19/2019 22:00	7.64	11.8"
"1/19/2019 22:15	7.63	11.82"
"1/19/2019 22:30	7.63	11.82"
"1/19/2019 22:45	7.62	11.84"
"1/19/2019 23:00	7.61	11.84"
"1/19/2019 23:15	7.62	11.84"
"1/19/2019 23:30	7.59	11.86"
"1/19/2019 23:45	7.6	11.86"
"1/20/2019 0:00	7.62	11.86"
"1/20/2019 0:15	7.65	11.86"
"1/20/2019 0:30	7.63	11.86"
"1/20/2019 0:45	7.65	11.88"
"1/20/2019 1:00	7.66	11.88"
"1/20/2019 1:15	7.62	11.88"
"1/20/2019 1:30	7.65	11.88"
"1/20/2019 1:45	7.69	11.88"
"1/20/2019 2:00	7.7	11.88"
"1/20/2019 2:15	7.69	11.88"
"1/20/2019 2:30	7.73	11.86"
"1/20/2019 2:45	7.71	11.86"
"1/20/2019 3:00	7.73	11.86"
"1/20/2019 3:15	7.76	11.84"
"1/20/2019 3:30	7.74	11.84"
"1/20/2019 3:45	7.73	11.82"
"1/20/2019 4:00	7.74	11.8"
"1/20/2019 4:15	7.76	11.8"
"1/20/2019 4:30	7.77	11.78"
"1/20/2019 4:45	7.77	11.76"
"1/20/2019 5:00	7.77	11.74"
"1/20/2019 5:15	7.79	11.74"
"1/20/2019 5:30	7.81	11.72"
"1/20/2019 5:45	7.78	11.7"
"1/20/2019 6:00	7.79	11.7"
"1/20/2019 6:15	7.8	11.68"
"1/20/2019 6:30	7.78	11.68"
"1/20/2019 6:45	7.77	11.66"
"1/20/2019 7:00	7.82	11.66"
"1/20/2019 7:15	7.83	11.64"
"1/20/2019 7:30	7.81	11.64"
"1/20/2019 7:45	7.79	11.64"
"1/20/2019 8:00	7.78	11.62"
"1/20/2019 8:15	7.8	11.62"
"1/20/2019 8:30	7.8	11.62"
"1/20/2019 8:45	7.82	11.62"
"1/20/2019 9:00	7.8	11.6"
"1/20/2019 9:15	7.82	11.6"
"1/20/2019 9:30	7.82	11.6"
"1/20/2019 9:45	7.83	11.62"
"1/20/2019 10:00	7.82	11.62"
"1/20/2019 10:15	7.85	11.62"
"1/20/2019 10:30	7.86	11.64"
"1/20/2019 10:45	7.86	11.64"
"1/20/2019 11:00	7.86	11.66"
"1/20/2019 11:15	7.89	11.7"
"1/20/2019 11:30	7.9	11.72"
"1/20/2019 11:45	7.87	11.76"
"1/20/2019 12:00	7.87	11.82"
"1/20/2019 12:15	7.84	11.88"
"1/20/2019 12:30	7.81	11.96"
"1/20/2019 12:45	7.78	12"
"1/20/2019 13:00	7.78	12.04"
"1/20/2019 13:15	7.79	12.06"
"1/20/2019 13:30	7.84	12.08"
"1/20/2019 13:45	7.9	12.1"
"1/20/2019 14:00	7.91	12.12"
"1/20/2019 14:15	7.95	12.18"
"1/20/2019 14:30	7.97	12.2"
"1/20/2019 14:45	7.91	12.24"
"1/20/2019 15:00	7.97	12.24"
"1/20/2019 15:15	7.98	12.24"
"1/20/2019 15:30	7.94	12.26"
"1/20/2019 15:45	8	12.26"
"1/20/2019 16:00	7.99	12.26"
"1/20/2019 16:15	8.02	12.24"
"1/20/2019 16:30	7.93	12.24"
"1/20/2019 16:45	7.97	12.24"
"1/20/2019 17:00	7.96	12.22"
"1/20/2019 17:15	7.96	12.2"
"1/20/2019 17:30	7.94	12.18"
"1/20/2019 17:45	7.95	12.14"
"1/20/2019 18:00	8.01	12.12"
"1/20/2019 18:15	8.02	12.1"
"1/20/2019 18:30	7.95	12.08"
"1/20/2019 18:45	7.91	12.06"
"1/20/2019 19:00	7.89	12.04"
"1/20/2019 19:15	7.89	12.02"
"1/20/2019 19:30	7.94	12.02"
