PanID,Site,Date_collected,Volume_Filtered_ml,Pan_g,Pan + Filter (g),Pan + Dried (g),Pan+Ash (g),Ash_wt_g,VSS_gL,VSS_mgL,POC_mgL,DI + Dried (g),,,,,,,,,
13,COS-TRI,2019-01-31,700,1.3163,1.4287,1.4488,1.4438,0.005,0.007142857,7.142857143,3.571428571,,,,,,,,,,
19,COS-TRI,2019-01-31,720,1.301,1.4136,1.4332,1.4282,0.005,0.006944444,6.944444444,3.472222222,,,,,,,,,,
24,XSSAC,2019-02-11,400,1.2946,1.4076,1.4246,1.4231,0.0015,0.00375,3.75,1.875,,,,,,,,,,
25,XSSAC,2019-02-11,400,1.3001,1.4129,1.4295,1.4276,0.0019,0.00475,4.75,2.375,,,,,,,,,,
29,XSSAC,2019-02-11,350,1.3033,1.4159,1.4338,1.4317,0.0021,0.006,6,3,,,,,,,,,,
2,KNAGGS,2019-02-12,75,1.2874,1.3979,1.4448,1.441,0.0038,0.050666667,50.66666667,25.33333333,,,,,,,,,,
3,KNAGGS,2019-02-12,75,1.3098,1.4197,1.4651,1.4609,0.0042,0.056,56,28,,,,,,,,,,
7,KNAGGS,2019-02-12,75,1.2766,1.3866,1.4339,1.4297,0.0042,0.056,56,28,,,,,,,,,,
12,COS-TRI,2019-02-13,720,1.3032,1.4136,1.4213,1.4195,0.0018,0.0025,2.5,1.25,,,,,,,,,,
13,COS-TRI,2019-02-13,1000,1.3163,1.4261,1.4366,1.4345,0.0021,0.0021,2.1,1.05,,,,,,,,,,
14,COS-TRI,2019-02-13,1000,1.3072,1.4173,1.428,1.426,0.002,0.002,2,1,,,,,,,,,,
17,WENDELLS,2019-02-13,800,1.2982,1.4075,1.4209,1.4187,0.0022,0.00275,2.75,1.375,,,,,,,,,,
18,WENDELLS,2019-02-13,900,1.2994,1.409,1.4242,1.4217,0.0025,0.002777778,2.777777778,1.388888889,,,,,,,,,,
19,WENDELLS,2019-02-13,860,1.301,1.4103,1.4258,1.4235,0.0023,0.002674419,2.674418605,1.337209302,,,,,,,,,,
22,COS-BEACH,2019-02-14,450,1.3132,1.4239,1.4337,1.4318,0.0019,0.004222222,4.222222222,2.111111111,,,,,,,,,,
23,COS-BEACH,2019-02-14,450,1.307,1.4178,1.4269,1.4251,0.0018,0.004,4,2,,,,,,,,,,
27,COS-BEACH,2019-02-14,450,1.2918,1.4021,1.4122,1.4103,0.0019,0.004222222,4.222222222,2.111111111,,,,,,,,,,
1,MOK-US-RR,2019-02-14,750,1.3034,1.4132,1.4323,1.43,0.0023,0.003066667,3.066666667,1.533333333,,,,,,,,,,
2,MOK-US-RR,2019-02-14,700,1.2745,1.3837,1.4027,1.4003,0.0024,0.003428571,3.428571429,1.714285714,,,,,,,,,,
8,MOK-US-RR,2019-02-14,700,1.2938,1.4033,1.4229,1.4206,0.0023,0.003285714,3.285714286,1.642857143,,,,,,,,,,
9,LUCO,2019-02-19,2000,1.2896,1.3996,1.4083,1.4054,0.0029,0.00145,1.45,0.725,,,,,,,,,,
10,XSSAC,2019-02-25,350,1.289,1.3985,1.4245,1.4224,0.0021,0.006,6,3,,,,,,,,,,
11,XSSAC,2019-02-25,350,1.3131,1.4228,1.453,1.4505,0.0025,0.007142857,7.142857143,3.571428571,,,,,,,,,,
15,XSSAC,2019-02-25,350,1.2996,1.4089,1.4388,1.4364,0.0024,0.006857143,6.857142857,3.428571429,,,,,,,,,,
20,KNAGGS,2019-02-26,200,1.3109,1.4198,1.4392,1.4371,0.0021,0.0105,10.5,5.25,,,,,,,,,,
